Model,Year,Region,Color,Fuel Type,Base Price (USD),Horsepower,Sales Volume,Turbo
GLE,2025,Global,Black,Hybrid,145254,266,1,Yes
GLA,2022,Global,Grey,Petrol,54887,389,1,No
GLB,2024,Global,Grey,Petrol,63760,325,1,Yes
GLB,2024,Global,Grey,Diesel,50633,185,1,Yes
E-Class,2022,Global,Black,Diesel,75728,330,1,Yes
GLC,2025,Global,Black,Hybrid,101265,446,1,No
A-Class,2021,Global,Grey,Petrol,91428,369,1,Yes
GLE,2020,Global,Grey,Petrol,124353,602,1,No
GLS,2023,Global,White,Diesel,369667,550,1,No
A-Class,2023,Global,Grey,Diesel,47239,246,1,Yes
GLC,2025,Global,Black,Petrol,80125,425,1,Yes
A-Class,2021,Global,Black,Hybrid,75446,267,1,Yes
A-Class,2022,Global,Black,Petrol,46259,213,1,Yes
GLA,2021,Global,Silver,Electric,86256,169,1,Yes
E-Class,2022,Global,White,Petrol,64242,474,1,No
GLE,2022,Global,Silver,Petrol,148865,473,1,Yes
GLB,2022,Global,Silver,Petrol,81757,304,1,Yes
GLS,2024,Global,Silver,Hybrid,218718,605,1,Yes
C-Class,2022,Global,Red,Petrol,85420,270,1,Yes
GLB,2022,Global,White,Petrol,82826,175,1,No
E-Class,2021,Global,Silver,Petrol,45380,239,1,Yes
E-Class,2025,Global,White,Hybrid,45351,202,1,Yes
E-Class,2021,Global,Silver,Hybrid,84399,501,1,Yes
GLC,2023,Global,Silver,Hybrid,106188,455,1,Yes
GLC,2021,Global,Black,Petrol,119386,351,1,Yes
GLE,2020,Global,Brown,Petrol,106892,526,1,Yes
A-Class,2020,Global,Red,Diesel,37406,378,1,Yes
GLB,2020,Global,White,Hybrid,47920,266,1,Yes
GLC,2025,Global,Grey,Hybrid,83550,506,1,Yes
GLA,2024,Global,Black,Hybrid,84255,340,1,Yes
GLE,2020,Global,Red,Diesel,142236,345,1,Yes
GLC,2022,Global,White,Petrol,156124,343,1,Yes
GLA,2025,Global,Silver,Hybrid,78296,208,1,Yes
A-Class,2023,Global,Silver,Hybrid,42201,350,1,Yes
CLA,2022,Global,White,Petrol,86084,420,1,Yes
E-Class,2025,Global,Black,Hybrid,56564,224,1,Yes
GLC,2022,Global,White,Petrol,87820,351,1,Yes
GLE,2022,Global,Black,Petrol,90343,537,1,Yes
GLB,2021,Global,Black,Petrol,54380,257,1,Yes
E-Class,2023,Global,White,Hybrid,87260,538,1,Yes
GLA,2021,Global,Green,Petrol,40407,417,1,Yes
C-Class,2020,Global,Red,Petrol,59172,419,1,Yes
A-Class,2023,Global,White,Petrol,93811,162,1,Yes
GLE,2022,Global,Blue,Diesel,90315,542,1,Yes
E-Class,2023,Global,Silver,Hybrid,47759,412,1,Yes
CLS,2023,Global,Grey,Petrol,91189,502,1,Yes
GLC,2021,Global,Black,Diesel,62643,452,1,Yes
C-Class,2020,Global,Silver,Petrol,50993,346,1,Yes
E-Class,2025,Global,Green,Electric,45203,270,1,Yes
GLA,2023,Global,Grey,Hybrid,79799,399,1,Yes
GLE,2020,Global,White,Petrol,71701,390,1,No
S-Class,2020,Global,White,Diesel,258293,321,1,No
GLB,2024,Global,White,Hybrid,60479,356,1,Yes
GLC,2023,Global,Green,Hybrid,118521,485,1,Yes
GLB,2022,Global,Yellow,Hybrid,65007,206,1,No
GLB,2023,Global,Grey,Hybrid,49911,201,1,No
GLC,2024,Global,White,Petrol,143214,435,1,Yes
GLE,2024,Global,Black,Petrol,164383,596,1,Yes
GLB,2023,Global,Silver,Hybrid,94045,343,1,Yes
GLE,2023,Global,Blue,Hybrid,124363,543,1,Yes
GLA,2020,Global,Black,Diesel,68872,232,1,Yes
C-Class,2023,Global,Grey,Diesel,71146,337,1,Yes
GLE,2025,Global,Grey,Hybrid,104101,250,1,Yes
GLB,2023,Global,Silver,Petrol,47548,246,1,No
GLC,2023,Global,Silver,Hybrid,159915,497,1,No
A-Class,2024,Global,Grey,Petrol,73304,301,1,Yes
GLB,2025,Global,Blue,Hybrid,72834,382,1,No
C-Class,2020,Global,Black,Petrol,39279,282,1,Yes
C-Class,2024,Global,Black,Hybrid,48006,367,1,Yes
GLC,2025,Global,Grey,Electric,141932,466,1,Yes
E-Class,2021,Global,Blue,Diesel,65700,292,1,No
C-Class,2020,Global,Grey,Petrol,45668,460,1,Yes
GLC,2024,Global,Grey,Hybrid,121269,244,1,Yes
E-Class,2025,Global,Silver,Electric,76063,578,1,Yes
E-Class,2024,Global,Silver,Hybrid,45596,498,1,Yes
A-Class,2022,Global,Silver,Petrol,38338,250,1,Yes
E-Class,2025,Global,Silver,Petrol,66564,215,1,Yes
