Model,Year,Region,Color,Fuel Type,Base Price (USD),Horsepower,Sales Volume,Turbo
A-Class,2022,Global,Black,Hybrid,89880,366,1,Yes
CLS,2021,Global,Black,Diesel,83758,441,1,No
GLB,2025,Global,Grey,Diesel,90640,170,1,Yes
A-Class,2025,Global,White,Petrol,98971,348,1,Yes
C-Class,2023,Global,Grey,Petrol,88039,278,1,Yes
GLC,2023,Global,Red,Electric,86813,294,1,No
E-Class,2025,Global,Black,Diesel,80247,283,1,Yes
GLA,2024,Global,Black,Hybrid,97293,246,1,Yes
CLA,2021,Global,Brown,Petrol,55457,240,1,No
A-Class,2024,Global,White,Hybrid,87297,226,1,Yes
GLC,2024,Global,Grey,Hybrid,92896,365,1,Yes
A-Class,2022,Global,Yellow,Petrol,61013,157,1,Yes
E-Class,2021,Global,White,Diesel,88793,285,1,Yes
GLA,2020,Global,White,Diesel,67655,171,1,No
C-Class,2021,Global,Blue,Petrol,65294,452,1,Yes
GLC,2020,Global,White,Diesel,144749,328,1,Yes
GLC,2022,Global,White,Petrol,151253,348,1,Yes
GLE,2025,Global,Silver,Electric,86859,303,1,No
CLA,2023,Global,Black,Electric,91689,406,1,Yes
GLB,2021,Global,White,Petrol,69364,186,1,Yes
AMG E 63,2022,Global,Yellow,Petrol,272769,612,1,Yes
A-Class,2021,Global,Grey,Diesel,86181,361,1,Yes
C-Class,2025,Global,Grey,Electric,44184,493,1,Yes
GLE,2021,Global,Black,Petrol,110102,308,1,Yes
GLC,2025,Global,Black,Hybrid,107653,301,1,No
GLS,2024,Global,Black,Electric,309641,409,1,Yes
GLE,2020,Global,Silver,Petrol,140052,302,1,Yes
AMG C 63,2024,Global,Grey,Electric,166072,491,1,Yes
GLC,2021,Global,Black,Hybrid,142112,343,1,Yes
G-Class,2024,Global,Black,Petrol,391473,498,1,Yes
GLB,2021,Global,Grey,Petrol,61116,175,1,No
CLA,2020,Global,Silver,Petrol,82538,263,1,No
A-Class,2025,Global,Silver,Electric,92806,380,1,Yes
GLE,2022,Global,Grey,Petrol,95852,612,1,Yes
GLC,2021,Global,White,Diesel,116881,453,1,No
GLE,2021,Global,Blue,Hybrid,79146,343,1,Yes
GLS,2025,Global,White,Hybrid,181200,386,1,Yes
GLC,2022,Global,Black,Petrol,72586,350,1,Yes
S-Class,2020,Global,Grey,Petrol,292456,602,1,Yes
CLA,2020,Global,White,Petrol,66178,343,1,Yes
GLB,2024,Global,White,Electric,97057,251,1,Yes
CLA,2025,Global,Grey,Hybrid,54323,278,1,Yes
E-Class,2022,Global,Grey,Petrol,82306,466,1,Yes
GLS,2020,Global,Red,Petrol,252099,380,1,No
S-Class,2024,Global,White,Diesel,221967,393,1,Yes
C-Class,2025,Global,Grey,Petrol,50126,310,1,No
C-Class,2025,Global,White,Electric,67060,259,1,Yes
C-Class,2023,Global,Orange,Diesel,43638,260,1,Yes
CLA,2022,Global,White,Diesel,95741,302,1,No
GLC,2025,Global,White,Hybrid,110038,459,1,Yes
GLC,2020,Global,Black,Petrol,83019,504,1,Yes
GLE,2025,Global,Silver,Diesel,81306,384,1,Yes
GLB,2024,Global,Black,Petrol,44407,267,1,Yes
GLS,2025,Global,Grey,Electric,314030,611,1,Yes
S-Class,2022,Global,White,Petrol,352912,341,1,Yes
GLA,2025,Global,White,Hybrid,48992,318,1,Yes
GLC,2020,Global,Grey,Petrol,100888,263,1,Yes
GLS,2024,Global,Black,Petrol,311832,367,1,Yes
A-Class,2020,Global,Silver,Petrol,54229,384,1,No
A-Class,2021,Global,Yellow,Petrol,60553,159,1,Yes
GLB,2021,Global,White,Diesel,61611,397,1,Yes
A-Class,2023,Global,Blue,Petrol,85103,238,1,Yes
AMG A 45,2025,Global,Grey,Hybrid,396508,411,1,Yes
GLE,2022,Global,Black,Hybrid,148603,430,1,Yes
C-Class,2020,Global,Black,Petrol,50245,445,1,Yes
C-Class,2022,Global,Black,Petrol,62512,224,1,Yes
E-Class,2024,Global,Silver,Petrol,87742,596,1,Yes
GLA,2022,Global,Grey,Diesel,64810,303,1,Yes
GLE,2023,Global,Black,Petrol,85787,357,1,No
G-Class,2022,Global,Blue,Diesel,363328,444,1,Yes
GLE,2022,Global,Grey,Diesel,130523,395,1,Yes
GLS,2025,Global,Grey,Electric,355446,342,1,Yes
A-Class,2021,Global,Brown,Diesel,41702,371,1,Yes
C-Class,2020,Global,Green,Diesel,53750,299,1,Yes
GLC,2020,Global,Green,Petrol,104423,357,1,Yes
A-Class,2025,Global,Orange,Hybrid,49877,341,1,Yes
GLC,2025,Global,Black,Hybrid,117673,281,1,Yes
GLB,2020,Global,Black,Petrol,55764,392,1,Yes
GLC,2025,Global,Silver,Electric,92995,379,1,No
GLC,2022,Global,Blue,Diesel,70939,234,1,Yes
GLA,2022,Global,Grey,Petrol,46773,332,1,Yes
E-Class,2021,Global,Black,Petrol,78144,585,1,Yes
GLE,2025,Global,Brown,Electric,167269,327,1,Yes
GLC,2022,Global,Grey,Hybrid,154485,234,1,Yes
E-Class,2020,Global,Blue,Petrol,37084,329,1,Yes
GLA,2020,Global,Grey,Petrol,55906,385,1,Yes
C-Class,2022,Global,Blue,Diesel,58998,355,1,Yes
S-Class,2025,Global,White,Electric,166754,436,1,Yes
S-Class,2020,Global,Silver,Diesel,316272,377,1,Yes
CLA,2022,Global,Red,Petrol,59237,362,1,Yes
A-Class,2024,Global,Black,Electric,58817,321,1,Yes
S-Class,2024,Global,White,Hybrid,256443,793,1,Yes
GLS,2024,Global,White,Electric,384047,419,1,Yes
GLA,2022,Global,Green,Hybrid,41101,253,1,Yes
C-Class,2024,Global,White,Petrol,43682,447,1,Yes
E-Class,2023,Global,Yellow,Electric,73345,325,1,Yes
GLB,2022,Global,Black,Petrol,85300,284,1,Yes
A-Class,2024,Global,Silver,Petrol,66252,174,1,Yes
E-Class,2025,Global,Black,Electric,91963,543,1,Yes
GLB,2023,Global,Blue,Petrol,61246,329,1,Yes
CLA,2025,Global,White,Hybrid,80891,318,1,Yes
GLS,2023,Global,White,Hybrid,284172,386,1,Yes
GLB,2025,Global,Brown,Petrol,49421,322,1,Yes
GLE,2021,Global,Red,Petrol,140177,372,1,Yes
GLS,2021,Global,White,Diesel,247706,396,1,Yes
E-Class,2025,Global,Red,Electric,46573,387,1,No
GLA,2024,Global,Blue,Hybrid,43441,280,1,Yes
GLC,2025,Global,Grey,Petrol,98811,382,1,No
GLB,2025,Global,Black,Hybrid,76550,387,1,Yes
CLA,2023,Global,White,Diesel,77503,361,1,No
GLA,2025,Global,Silver,Electric,94074,285,1,Yes
GLE,2021,Global,Silver,Diesel,141125,260,1,No
A-Class,2020,Global,Silver,Petrol,68415,396,1,Yes
E-Class,2025,Global,Black,Hybrid,83288,607,1,Yes
GLC,2023,Global,Silver,Diesel,78489,338,1,Yes
GLC,2025,Global,Red,Hybrid,75383,220,1,Yes
A-Class,2024,Global,Black,Petrol,96577,371,1,Yes
